# HEDQ Quality Audit — Trend History
# Each row = one audit run
# columns: timestamp	commit	mode	d1	d2	d3	d4	d5	d6	d7	d8	total	max	percentage	grade
2026-06-28 17:04:39	2cfc7ef	quick	4.5	0.0	0.0	0.0	0.0	0.6	9.6	0.0	14.7	100	14.6	DRAFT
2026-06-28 17:04:44	2cfc7ef	quick	4.5	0.0	0.0	0.0	0.0	0.6	9.6	0.0	14.7	100	14.6	DRAFT
2026-06-28 17:04:49	2cfc7ef	full	4.5	4.6	0.0	0.0	4.4	0.6	9.6	3.0	26.6	100	26.6	DRAFT
2026-06-28 17:05:47	2cfc7ef	full	4.5	4.6	0.0	0.0	4.4	0.6	9.6	3.0	26.6	100	26.6	DRAFT
2026-06-28 17:14:25	2cfc7ef	full	4.5	4.6	3.4	0.0	4.4	0.6	9.6	3.0	30.1	72	41.7	DRAFT
2026-06-28 17:16:38	2cfc7ef	full	4.5	4.6	3.4	0.0	2.2	0.6	9.6	3.0	27.9	72	38.7	DRAFT
2026-06-28 17:17:34	2cfc7ef	full	4.5	4.6	3.4	0.0	2.2	0.6	9.6	3.0	27.9	72	38.7	DRAFT
2026-06-28 17:22:31	2cfc7ef	full	8.5	4.6	3.4	0.0	2.2	0.6	9.6	3.3	32.1	72	44.7	DRAFT
2026-06-28 17:27:04	2cfc7ef	full	8.5	4.7	3.4	0.0	2.2	0.0	9.6	3.3	31.6	72	44.0	DRAFT
2026-06-28 17:27:37	2cfc7ef	full	8.5	4.7	3.4	0.0	2.2	0.6	9.6	3.3	32.2	72	44.8	DRAFT
2026-06-28 17:33:13	2cfc7ef	full	8.5	4.7	3.4	0.0	2.2	0.6	9.6	3.3	32.2	72	44.8	DRAFT
2026-06-28 19:09:30	2ad9ce2	full	10.5	0.0	3.4	0.0	2.2	1.2	9.8	3.3	30.4	52.5	58.0	DRAFT
2026-06-28 19:19:22	2ad9ce2	full	10.5	6.0	3.4	0.0	2.2	2.0	9.8	3.3	37.2	52.5	71.0	NEEDS WORK
2026-06-28 20:10:33	2ad9ce2	full	11.0	6.0	3.4	3.7	2.2	2.0	10.0	3.5	41.8	52.5	79.6	CONDITIONAL
2026-06-28 20:11:12	2ad9ce2	quick	11.0	0.0	0.0	0.0	0.0	2.0	10.0	0.0	23.0	23	100.0	READY
2026-06-29 11:16:38	cedf2d4	full	12.6	6.0	3.4	3.7	3.4	2.0	10.0	3.5	44.6	58.5	76.2	CONDITIONAL
2026-06-29 11:16:59	cedf2d4	full	12.6	6.0	3.4	3.7	3.4	2.0	10.0	3.5	44.6	58.5	76.2	CONDITIONAL
2026-06-29 11:17:50	cedf2d4	full	12.6	6.0	3.4	3.7	3.4	2.0	10.0	3.5	44.6	58.5	76.2	CONDITIONAL
2026-06-29 11:19:33	cedf2d4	full	12.7	6.0	3.4	3.7	3.4	2.0	10.0	3.5	44.7	58.5	76.4	CONDITIONAL
2026-06-29 11:20:59	cedf2d4	full	13.0	6.0	3.4	3.7	3.4	2.0	10.0	3.5	45.0	58.5	76.9	CONDITIONAL
2026-06-29 12:19:09	cedf2d4	full	13.6	6.0	3.4	3.7	3.4	2.0	10.0	3.5	45.6	58.5	77.9	CONDITIONAL
2026-06-29 12:38:27	cedf2d4	quick	13.6	0.0	0.0	0.0	0.0	2.0	10.0	0.0	25.6	26	98.5	READY
2026-06-29 12:56:35	cedf2d4	quick	13.6	0.0	0.0	0.0	0.0	2.0	10.0	0.0	25.6	26	98.5	READY
2026-06-29	baseline	59.8	59.8	0.0	quick	hedq-audit pre-optimization
2026-06-29	round1	71.7	71.7	+11.9	quick	hedq-audit: if-then+checkpoint+antipattern
2026-06-29	round2	76.0	76.0	+4.3	quick	hedq-audit: triggers_zh frontmatter + referenced-files
